Booking ID,Booking Date,Booking Channel,Loyalty Level,Status,Stay Date,Number of nights,Room Rate,Revenue,How far away?,How far away bucket,Day Name,Day of Week
RES009725,26-Sep-24,At the hotel,0.Non-member,Modified,27-Sep-24,1,122.13,122.13,1,1. Before a week,Friday,5
RES009740,3-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,179.39,179.39,1,1. Before a week,Friday,5
RES009751,5-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,175.87,175.87,1,1. Before a week,Friday,5
RES009781,1-Oct-24,At the hotel,0.Non-member,Modified,2-Oct-24,1,163.51,163.51,1,1. Before a week,Wednesday,3
RES009812,11-Oct-24,At the hotel,0.Non-member,Modified,12-Oct-24,1,173.26,173.26,1,1. Before a week,Saturday,6
RES009910,26-Sep-24,At the hotel,0.Non-member,Modified,27-Sep-24,1,174.68,174.68,1,1. Before a week,Friday,5
RES010032,2-Oct-24,At the hotel,0.Non-member,Modified,3-Oct-24,1,204.82,204.82,1,1. Before a week,Thursday,4
RES010071,25-Oct-24,At the hotel,0.Non-member,Modified,26-Oct-24,1,129.02,129.02,1,1. Before a week,Saturday,6
RES010258,18-Sep-24,At the hotel,0.Non-member,Modified,19-Sep-24,1,180.35,180.35,1,1. Before a week,Thursday,4
RES010281,3-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,186.73,186.73,1,1. Before a week,Friday,5
RES010357,29-Oct-24,At the hotel,0.Non-member,Modified,30-Oct-24,1,120.48,120.48,1,1. Before a week,Wednesday,3
RES010384,10-Oct-24,At the hotel,0.Non-member,Modified,11-Oct-24,1,180.71,180.71,1,1. Before a week,Friday,5
RES010474,11-Oct-24,At the hotel,0.Non-member,Modified,12-Oct-24,1,210.84,210.84,1,1. Before a week,Saturday,6
RES010524,9-Sep-24,At the hotel,0.Non-member,Modified,10-Sep-24,1,174.7,174.7,1,1. Before a week,Tuesday,2
RES010526,17-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,0,0,1,1. Before a week,Friday,5
RES010566,13-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,210.84,210.84,1,1. Before a week,Saturday,6
RES010640,2-Oct-24,At the hotel,0.Non-member,Modified,3-Oct-24,1,62.65,62.65,1,1. Before a week,Thursday,4
